x_block,y_block,location_id
399887.24,139069.89,1
397965.67,138304.93,2
400695.73,140731.99,3
400134.57,136653.33,4
401170.24,136698.95,5
399650.13,134411.01,6
401601.33,130970.75,7
400233.79,136927.88,4
396522.7,137709.93,8
396384.27,137427.76,9
399887.27,138551.15,1
396938.14,139491.84,10
400770.13,140681.99,11
397115.78,137977.23,12
397162.35,141051.25,13
398098.85,136808.92,14
397172.77,138305.39,15
399823.12,136856.25,4
397831.55,137367.92,16
398030.84,139732.75,17
402362.69,139939.1,18
396832.67,138099.66,8
403132.3433,131966.7037,19
397232.88,143323.91,20
396830.43,137253.62,9
401508.58,137047.02,21
400997.8721,130527.4953,22
398009.8,138947.2,23
400949.61,132834.02,24
399605.85,134410.84,6
400686.5305,135234.474,25
398758.71,145213.06,26
393473.23,144062.6,27
398099.02,138206.33,2
393303.37,141743.03,28
400134.54,130213.31,22
397654.57,137450.34,29
393173.95,142324.53,30
397165.27,144734.38,31
399949.5597,134459.225,6
397910.8,134502.42,32
400541.5,139301.4,33
395892.73,136464.35,34
400046.41,137753.65,35
401135.8699,135000.3803,25
398185.24,138058.15,36
400790.5294,134998.5671,25
404600.8999,136168.3774,37
399627.14,138712.32,1
396029.23,137018.53,34
400731.85,140074.3,11
397823.78,141376.73,13
398315.72,137185.25,38
402765.9194,131175.382,39
403561.1,140013.2,40
399364.75,138021.27,1
400734.6418,134910.5104,41
400435.8489,134906.7148,41
406552.0,136724.48,42
407006.52,135543.58,43
403514.55,139817.5,40
397162.06,140182.43,44
397965.7,138634.15,45
397329.97,138713.44,45
398010.31,138697.33,45
396055.23,139384.65,46
393227.28,141918.97,28
396929.72,139687.62,10
400246.54,139229.04,1
400042.36,136137.72,47
398009.1,137532.25,2
396326.17,139306.49,46
399612.05,137531.8,48
399351.72,137531.68,49
407370.181,136522.622,42
402817.8,132471.61,19
405182.78,135041.05,50
396528.42,141790.9,51
398413.38,137052.45,38
405327.95,135921.92,37
398010.08,138818.94,45
399352.4888,134192.1699,6
398057.41,140312.52,52
403450.15,135827.0,53
400840.66,139142.94,33
401104.1697,130427.7926,54
399591.002,135120.2832,41
399564.44,134557.34,55
400891.3397,131932.5347,56
396275.52,139991.73,57
402466.06,139176.64,18
399950.66,138853.51,1
399210.55,134299.54,6
400489.57,136425.44,58
398267.42,140692.51,52
400588.465,129470.0424,59
397171.11,137408.25,60
405683.92,136346.81,61
395188.55,140277.9,62
402044.04,130974.37,39
397953.59,140415.23,52
392668.58,143406.46,30
