CCN,location_id,latitude,longitude
24423221,1,38.91949935,-77.00130027
24009631,2,38.91260599,-77.02345629
24009706,3,38.9344718,-76.99197561
24421835,4,38.89773014,-76.9984487
24422596,5,38.89814033,-76.9865096
24159248,6,38.87753041,-77.0040321
24162094,7,38.84653773,-76.98155338
24070627,4,38.90020336,-76.99730482
24007278,8,38.9072415,-77.04009106
24010507,9,38.90469905,-77.04168558
24010591,1,38.91482637,-77.00129984
24183279,10,38.92329508,-77.03530924
24184932,11,38.93402132,-76.99111756
24185567,12,38.90965158,-77.03325434
24170214,13,38.93734348,-77.03273011
24187600,14,38.89912971,-77.02191656
24173612,15,38.91260794,-77.03259861
24177262,4,38.89955811,-77.00203909
24192840,16,38.90416476,-77.02499977
24069650,17,38.9254684,-77.02270896
24420601,18,38.9273263,-76.97275202
24158710,8,38.91075349,-77.0365191
24176464,19,38.85550559,-76.96391225
24071288,20,38.95781646,-77.03192577
24175985,9,38.90313206,-77.03654102
24079494,21,38.90127536,-76.98260849
24111642,22,38.84254558,-76.9885056
24116474,23,38.91839187,-77.02294933
24017687,24,38.86332381,-76.98905834
24156645,6,38.87752886,-77.00454241
24423305,25,38.8849483,-76.99208721
24079334,26,38.97483787,-77.01432486
24111798,27,38.96445087,-77.07530991
24420404,2,38.91171806,-77.02191846
24012965,28,38.9435543,-77.07724722
24172447,22,38.83971582,-76.99845031
24092589,29,38.90490677,-77.02704043
24180068,30,38.94879161,-77.07874589
24181069,31,38.97052211,-77.03271165
24183153,6,38.87796482,-77.00058131
24035634,32,38.87835146,-77.02407739
24012405,33,38.92158471,-76.99375559
24123749,34,38.89601815,-77.04734676
24035921,35,38.90764222,-76.99946492
24029544,25,38.88283903,-76.98690862
24032729,36,38.91038339,-77.02092395
24033965,25,38.88282307,-76.99088882
24034019,37,38.89334948,-76.94696488
24036922,1,38.91627817,-77.00429938
24024000,34,38.90101103,-77.04577645
24028040,11,38.9285471,-76.99155971
24132789,13,38.94027739,-77.02510206
24161848,38,38.90252026,-77.01941739
24183957,39,38.84837825,-76.968137
24108866,40,38.92798978,-76.95893084
24017713,1,38.91005281,-77.00732432
24032889,41,38.88202987,-76.99153304
24064068,41,38.88199588,-76.99497672
24004936,42,38.89834668,-76.92446902
24033641,43,38.88770519,-76.91924139
24069984,40,38.92622704,-76.95946869
24071771,44,38.92951689,-77.03272986
24150944,45,38.91557171,-77.02345692
24168292,30,38.94879161,-77.07874589
24168469,45,38.91628428,-77.03078765
24168612,45,38.91614096,-77.02294272
24172712,46,38.92232596,-77.04549031
24186802,28,38.94513863,-77.07812667
24178348,10,38.9250587,-77.03540722
24181587,12,38.90965158,-77.03325434
24194160,1,38.920933,-76.99715701
24188696,47,38.89308535,-76.99951171
24025927,2,38.90564552,-77.0229533
24015631,46,38.92162305,-77.04236546
24086806,48,38.90564363,-77.00447272
24038479,49,38.9056424,-77.00747409
24011847,42,38.89652179,-76.91503926
24032491,19,38.86005506,-76.96753404
24018964,50,38.88319085,-76.94026598
24083928,51,38.94400419,-77.04004575
24036371,38,38.90132413,-77.0182912
24042077,37,38.8911252,-76.938586
24196785,45,38.91723646,-77.02294573
24198814,6,38.87555885,-77.00746208
24149129,52,38.93069121,-77.02240419
24053421,53,38.8902795,-76.96023142
24092272,33,38.92015701,-76.99030597
24092852,54,38.84164729,-76.98728132
24420593,41,38.8839198,-77.00471395
24095242,13,38.94027739,-77.02510206
24071693,55,38.87884857,-77.00501973
24181700,56,38.85520291,-76.98973091
24185458,57,38.92779569,-77.04295326
24118702,18,38.92045753,-76.97156263
24420649,1,38.91755013,-77.00056894
24099590,6,38.87652596,-77.00909794
24422415,58,38.8956771,-76.99435648
24159280,52,38.93411472,-77.01998307
24116529,19,38.86005506,-76.96753404
24174409,37,38.8911252,-76.938586
24052971,59,38.83301994,-76.99322243
24032584,60,38.90452619,-77.03261406
24159448,58,38.8956771,-76.99435648
24054097,61,38.89495053,-76.93447931
24083349,62,38.93036832,-77.05549095
24088216,39,38.84656942,-76.97645355
24090324,52,38.93161622,-77.02360187
24151734,30,38.95853385,-77.08458744
24185825,63,38.90723169,-77.00203124
24015185,12,38.90965158,-77.03325434
24109732,44,38.92951689,-77.03272986
24046815,3,38.94221354,-76.98627287
24049514,12,38.90965158,-77.03325434
24176959,64,38.96992618,-77.03153239
24166264,65,38.91421378,-76.98602966
24057201,66,38.90048017,-77.02885342
24157172,44,38.92986249,-77.03475626
24172509,28,38.9431643,-77.07350893
24100426,6,38.87700446,-77.00203963
24133016,64,38.96945187,-77.02730886
24136383,67,38.94139424,-77.02332481
24076775,45,38.91984134,-77.02961817
24071880,63,38.90530536,-76.99844231
24075602,36,38.91356387,-77.01990006
23211778,68,38.93196713,-76.99912404
24139208,8,38.90790311,-77.04423085
24142038,69,38.90259243,-77.05960938
24063531,46,38.92386989,-77.04087559
24065877,70,38.97868917,-77.0309763
24002607,62,38.92594793,-77.05588561
24002868,71,38.91883402,-77.03748448
24003102,37,38.89088524,-76.94879946
24003273,72,38.87786661,-77.01763474
24157888,10,38.92660747,-77.02590014
24072829,45,38.91483037,-77.02497676
24192153,39,38.8459033,-76.96964969
24007320,73,38.90699416,-77.03726404
24013094,74,38.89548286,-76.97218585
24043164,75,38.89665588,-76.94764751
24045340,76,38.86068987,-76.96879746
24177103,4,38.89702713,-76.99844595
24423669,77,38.91593032,-77.03847471
24423849,1,38.91176758,-77.00203518
24424903,36,38.91284239,-77.02046173
24425524,78,38.95243801,-77.02557623
24098421,21,38.9014909,-76.97417642
24098819,1,38.9125974,-77.00545991
24124858,8,38.90963684,-77.04771599
24034982,1,38.91810775,-77.00644025
24057590,9,38.90469905,-77.04168558
24114544,25,38.88346809,-76.98365506
24169914,64,38.96945187,-77.02730886
24171446,6,38.87752574,-76.99785446
24182177,24,38.85931888,-76.98462013
24182857,79,38.84683262,-76.99613966
24070929,52,38.93389076,-77.02297842
24072991,80,38.9133503,-77.03454816
24195121,66,38.89782585,-77.02961894
24052228,7,38.85023677,-76.98332227
24052803,52,38.92858177,-77.02316216
24053964,55,38.87840535,-77.00537086
24081100,19,38.86527726,-76.97064022
24103984,20,38.95781489,-77.02823064
24112283,55,38.87928414,-77.00666828
24187936,4,38.90020456,-77.00130465
24188179,14,38.89912971,-77.02191656
24191546,1,38.9218324,-77.00203408
24122093,34,38.90101103,-77.04577645
24421930,81,38.93280757,-76.99703843
24083502,42,38.89775424,-76.91914882
24019114,8,38.90992743,-77.04360696
24020337,19,38.86386098,-76.95784981
24023353,17,38.9254684,-77.02270896
24187103,45,38.91483008,-77.02191815
24160035,42,38.89460379,-76.91845422
24165859,48,38.9025152,-77.00472811
24189444,82,38.87201973,-76.97776818
24076779,59,38.8266164,-76.99435964
24064268,83,38.94003051,-77.07780675
24065052,84,38.95469427,-77.06922581
24052504,13,38.94450795,-77.02789453
24078258,85,38.90856874,-77.01367027
24079797,86,38.91174785,-76.93859176
24136699,87,38.93482428,-77.05808053
24136960,88,38.88758941,-76.97987954
24141291,45,38.91723646,-77.02294573
24174456,2,38.91408907,-77.02497857
24089927,51,38.94559921,-77.0297042
24090356,89,38.8987906,-76.93271142
24135471,13,38.93814839,-77.02458342
24189071,38,38.90252073,-77.02091242
24164185,69,38.91127915,-77.0639223
24165104,89,38.90872133,-76.93320013
24167347,4,38.89812327,-77.00057374
24165401,63,38.90373042,-77.00204267
24184906,90,38.9159574,-77.05061663
24050757,91,38.90136116,-77.00906295
24122491,45,38.9149739,-77.02650623
24170448,34,38.90526517,-77.04946064
24150465,8,38.90909958,-77.048797
24013486,24,38.86360564,-76.99069504
24185529,5,38.90020092,-76.98927425
24189725,6,38.87593927,-77.00586656
24199716,74,38.89611453,-76.97673853
24145104,46,38.91854376,-77.04492713
24146652,30,38.9564891,-77.08354331
24148895,88,38.88812963,-76.97899481
24037842,26,38.96992287,-77.01709693
24055115,61,38.90052091,-76.94345296
24021995,92,38.84240843,-76.98646536
24025054,93,38.92772133,-76.97484274
24096822,74,38.89720747,-76.97337897
24055338,45,38.91699681,-77.02651355
24425169,84,38.95578356,-77.06704265
24119499,44,38.93184346,-77.02971046
24420212,41,38.88050022,-76.9961783
24097057,89,38.90385612,-76.93166732
24126368,94,38.92418313,-77.02252289
24110246,62,38.92527934,-77.05074272
24181300,55,38.8770044,-77.00435314
24184148,44,38.92951689,-77.03272986
24017074,95,38.8622877,-76.99487278
24127251,24,38.86513127,-76.98357099
24130134,96,38.86452991,-76.9487187
24123462,65,38.90659976,-76.98608038
24097327,1,38.92558264,-76.99730928
24126188,40,38.92158101,-76.95873999
24126251,44,38.93060021,-77.03181359
24145390,66,38.89734864,-77.02756208
24148645,85,38.91297462,-77.01215788
24149645,97,38.9224438,-77.02109066
24088411,37,38.89213808,-76.95136745
24099953,98,38.89135271,-77.01755819
24100601,74,38.89403891,-76.97812812
24101572,85,38.91482282,-77.01066775
24160539,52,38.93549724,-77.02417051
24161671,96,38.87636924,-76.96671964
24022798,87,38.93482428,-77.05808053
24068741,59,38.83370603,-76.98616638
24095064,8,38.90992743,-77.04360696
24097472,64,38.96945187,-77.02730886
24420948,9,38.90470003,-77.04345274
24086516,65,38.90220772,-76.98201154
24088099,19,38.85429767,-76.96244277
24091753,88,38.88472575,-76.98076571
24096313,1,38.91147025,-77.0088364
24097973,99,38.9107578,-77.03195302
24100533,65,38.9122707,-76.98967254
24056084,100,38.92051037,-77.03336008
24138264,44,38.92742558,-77.03407926
24138833,39,38.84236014,-76.98266949
24042998,2,38.90790884,-77.02396643
24044238,101,38.91592868,-77.0319536
24189773,23,38.92047649,-77.02198931
24191789,102,38.94179248,-76.97570947
24036997,21,38.90127536,-76.98260849
24038849,44,38.92821809,-77.02739122
24042394,46,38.92386989,-77.04087559
24123377,1,38.92129944,-77.00350135
24156877,19,38.85727831,-76.96359787
24186298,103,38.92951689,-77.03272986
24186587,104,38.9173464,-77.0690656
24110077,5,38.8981203,-76.98550368
24110838,69,38.90259243,-77.05960938
24099192,23,38.91839187,-77.02294933
24009790,89,38.90148741,-76.93838669
24012717,46,38.92170516,-77.04345168
24152163,105,38.89920615,-77.04058121
