location_id,WARD,DISTRICT,PSA,ANC,NEIGHBORHOOD_CLUSTER
1,5.0,5.0,502.0,5F,Cluster 21
2,2.0,3.0,307.0,2G,Cluster 7
3,5.0,5.0,504.0,5B,Cluster 20
4,6.0,1.0,104.0,6C,Cluster 25
5,6.0,1.0,104.0,6A,Cluster 25
6,8.0,1.0,106.0,8F,Cluster 27
7,8.0,7.0,704.0,8C,Cluster 38
8,2.0,2.0,208.0,2B,Cluster 6
9,2.0,2.0,207.0,2C,Cluster 6
10,1.0,3.0,304.0,1A,Cluster 2
11,5.0,5.0,504.0,5B,Cluster 22
12,2.0,2.0,208.0,2F,Cluster 7
13,4.0,4.0,404.0,4C,Cluster 18
14,2.0,1.0,101.0,2C,Cluster 8
15,2.0,,,2F,Cluster 7
16,2.0,3.0,307.0,2G,Cluster 8
17,1.0,3.0,304.0,1E,Cluster 2
18,5.0,5.0,503.0,5C,Cluster 22
19,7.0,6.0,606.0,7B,Cluster 35
20,4.0,4.0,403.0,4E,Cluster 18
21,5.0,5.0,507.0,5D,Cluster 23
22,8.0,7.0,705.0,8C,Cluster 39
23,1.0,3.0,305.0,1E,Cluster 3
24,8.0,7.0,701.0,8A,Cluster 28
25,6.0,1.0,107.0,6B,Cluster 26
26,4.0,4.0,401.0,4B,Cluster 17
27,3.0,2.0,201.0,3/4G,Cluster 10
28,3.0,2.0,202.0,3A,Cluster 11
29,2.0,3.0,307.0,2F,Cluster 8
30,3.0,2.0,202.0,3E,Cluster 11
31,4.0,4.0,401.0,4A,Cluster 17
32,6.0,1.0,103.0,6D,Cluster 9
33,5.0,5.0,505.0,5C,Cluster 22
34,2.0,2.0,207.0,2A,Cluster 5
35,5.0,5.0,501.0,5D,Cluster 23
36,2.0,3.0,308.0,2G,Cluster 7
37,7.0,6.0,603.0,7F,Cluster 32
38,6.0,1.0,101.0,6E,Cluster 8
39,8.0,7.0,704.0,8E,Cluster 38
40,5.0,5.0,503.0,5C,Cluster 24
41,6.0,1.0,106.0,6B,Cluster 26
42,7.0,6.0,608.0,7C,Cluster 31
43,7.0,6.0,604.0,7C,Cluster 33
44,1.0,3.0,302.0,1A,Cluster 2
45,1.0,3.0,305.0,1B,Cluster 3
46,1.0,3.0,303.0,1C,Cluster 1
47,6.0,1.0,108.0,6C,Cluster 25
48,6.0,5.0,501.0,6E,Cluster 25
49,6.0,,,6E,Cluster 25
50,7.0,6.0,604.0,7E,Cluster 33
51,4.0,4.0,404.0,4E,Cluster 18
52,1.0,4.0,409.0,1E,Cluster 2
53,7.0,6.0,603.0,7D,Cluster 32
54,8.0,7.0,705.0,8E,Cluster 38
55,6.0,1.0,106.0,8F,Cluster 27
56,8.0,7.0,703.0,8B,Cluster 37
